;Unnamed: 3;Unnamed: 4;join_num;text;Текст ответа;Тематика;Тематика ;normal_text
213;;;37.0;"Добрый день,  вылетаю в пятницу из Москвы во Владивосток по личным делам,  нужна ли справка на covid 19 ? Спасибо
Татьяна
Отправлено из Mail.ru для Android
";;;ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ;добрый день вылетать пятница москва владивосток личный дело нужный справка covid 19 спасибо татьяна отправить mailru android
214;;;257.0;"Добрый день!

08.08.2020 я вызвала врача на дом, поскольку у меня были признаки ОРВИ. Врач выписала мне лечение антибиотиками и противовирусными препаратами, открыла больничный лист и дала на подпись Постановление об изоляции с подозрением на короновирусную инфекцию.

09.08.2020 у меня взяли мазок на анализ коронавирусной инфекции, который оказался отрицательным.

Завтра, 12.08.2020 у меня был запланирован визит к терапевту (до наступления болезни).
Имею ли я право нарушить карантин ввиду отрицательного теста на коронавирус?
С уважением,
Андриановская Екатерина
";;;ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ;добрый день 08082020 вызвать врач дом поскольку признак орвать врач выписать лечение антибиотик противовирусный препарат открыть больничный лист дать подпись постановление изоляция подозрение короновирусный инфекция 09082020 взять мазка анализ коронавирусный инфекция который оказаться отрицательный завтра 12082020 запланировать визит терапевт наступление болезнь иметь право нарушить карантин ввиду отрицательный тест коронавирус уважение андриановский екатерина
215;;;132.0;"Добрый день, в семье у отца обнаружили короновирус, семью посадили на карантин. Спустя время у мамы появился сильный кашель и высокая температура. Но проблема в том, что у отца делали флюрографию, сказали что есть затемнение легких, а у мамы не делали. Есть к вам 2 вопроса:
1)Есть ли возможность сделать компьютерную томографию легких в г.Ижевск для людей, находящихся в карантине? Очень сильно переживаем, что пойдут осложнения. 
2)При осложнениях нам предложили лечь во 2 городскую больницу (по месту жительства). Есть ли возможность лечь в другую больницу (если даже платно)?

--
Ильдар Закиров
";;;ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ;добрый день семья отец обнаружить короновирус семь посадить карантин спустя время мама появиться сильный кашель высокий температура проблема отец делать флюрография сказать затемнение лёгкое мама делать 2 вопрос 1 возможность сделать компьютерный томография лёгкое гижевск человек находиться карантин очень сильно переживать пойти осложнение 2 осложнение предложить лечь 2 городской больница место жительство возможность лечь больница платно ильдар закир
216;;;308.0;Добрый день. Мы планируем поехать в отпуск в Турцию, по возвращению в течении 3х дней к анкете на госуслугах необходимо прикрепить результат теста пцр на ковид. Однако в лабораториях сроки ввдачи результата 3 дня не считая дня забора или день в случае отрицательного теста, а если положительный то отправляют к Вам на перепроверку и срок не озвучивают. Что необходимо делать в случае отсутствии возможности уложиться в срок 3 дня по не зависящим от меня причинам? Например, я получил результат на 4 или 5 день. Что я могу внести на портал госуслуг? С уважением, Агафонов Виталий. ;;;ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН;добрый день планировать поехать отпуск турция возвращение течение 3 х день анкета госуслуга необходимый прикрепить результат тест пцр ковид однако лаборатория срок ввдача результат 3 день считать день забор день случай отрицательный тест положительный отправлять перепроверка срок озвучивать необходимый делать случай отсутствие возможность уложиться срок 3 день зависеть причина например получить результат 4 5 день мочь внести портал госуслуга уважение агафон виталий
217;;;257.0;"08.08.2020 нашей семьей было сообщено в регистратуру поликлиники №20 ( тел.73-12-17) о плохом самочувствии всех членов нашей семьи (температура, озноб, затрудненное дыхание, головная  боль, рвота (у младшей дочери — 2015 г.р.), положительный тест на covid19 (у сына — 2001 г.р.), также было сообщено об этом в детскую поликлинику по месту нашего проживания (Еременко, 42). Работник поликлиники спросил у нас сведения о ФИО и дате рождения всех членов нашей семьи и заверил, чтобы мы ожидали приезда врачей, которые обследуют нас и отберут анализы на covid19 у остальных членов нашей семьи, и чтобы мы никуда не выходили.
Однако по настоящее время, спустя уже более трех суток, к нам никто не приехал из медицинских работников, никаких анализов, не взяли, не позвонили и не поинтересовались нашим самочувствием и наличием у нас лекарств, тогда как в семье есть 5-летний ребенок, лечения никакого не назначили. В настоящее время состояние членов нашей семьи не улучшается, хотя показателей для вызова скорой помощи пока нет. Самостоятельно обследоваться в клиниках и лечиться мы лишены возможности.
Такое халатное и беспечное отношение работников медучреждения к заболевшим гражданам недопустимо!!!
По телефону горячей линии Роспотребнадзора не предусмотрена подача жалоб, поэтому прошу считать данное письмо официальной жалобой на бездействия сотрудников медучреждения поликлиники №20 и прошу принять экстренные меры для оказания нашей семье надлежащей медицинской помощи и взятия у нас проб на covid19.

11 августа 2020 года
Журавлев Константин Владимирович ( тел. 8-9178305061 )
";;;ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ;08082020 наш семья сообщить регистратура поликлиника № 20 тело 731217 плохой самочувствие весь член наш семья температура озноб затруднить дыхание головной боль рвота младший дочь — 2015 гр положительный тест covid 19 сын — 2001 гр также сообщить это детский поликлиника место наш проживание еременко 42 работник поликлиника спросить сведение фио дата рождение весь член наш семья заверить ожидать приезд врач который обследовать отобрать анализ covid 19 остальной член наш семья никуда выходить однако настоящее время спустя сутки никто приехать медицинский работник никакой анализ взять позвонить поинтересоваться наш самочувствие наличие лекарство семья 5 летний ребёнок лечение никакой назначить настоящее время состояние член наш семья улучшаться хотя показатель вызов скора помощь пока самостоятельно обследоваться клиника лечиться лишить возможность халатный беспечный отношение работник медучреждение заболеть гражданин недопустимый телефон горячий линия роспотребнадзор предусмотреть подача жалоба поэтому просить считать данный письмо официальный жалоба бездействие сотрудник медучреждение поликлиника № 20 просить принять экстренный мера оказание наш семья надлежащий медицинский помощь взятие проба covid 19 11 август 2020 год журавлев константин владимир тело 89178305061
218;;;257.0;Добрый день, у ребёнка 12лет, вчера в районе 12-00 поднялась температура 38.6, вызвали дежурного доктора, Приняли жаропонижающее ибуклин детский. Доктор приехал когда у ребёнка температура спала до 37.3. Осмотрел диагностировал ОРВИ, заверил, что нечего страшного немного воспалено горло. Вечером температура повысилась до 38.9 приняли жаропонижающее,обработали горло гексоралом приняли циклоферон (не смогли приобрести выписанный амиксин). Утром ребёнок встал очень обессилен темп. 38.9 горло по прежнему безболезненно хотя слегка красное. Вопрос почему в связи с эпидобстановкой не назначили тест на COVID-19. За пределы края не выезжали, с подтверждено заболевшими не кантактировали.;;;ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ;добрый день ребёнок 12 год вчера район 1200 подняться температура 386 вызвать дежурный доктор принять жаропонижающий ибуклин детский доктор приехать ребёнок температура спасть 373 осмотреть диагностировать орвать заверить нечего страшный немного воспалить горло вечером температура повыситься 389 принять жаропонижающееобработать горло гексорало принять циклоферон смочь приобрести выписать амиксина утром ребёнок встать очень обессиленный темп 389 горло прежний безболезненно хотя слегка красный вопрос почему связь эпидобстановка назначить тест covid 19 предел край выезжать подтвердить заболеть кантактировать
219;;;308.0;"Здравствуйте!
Я ознакомлена с планом действий при возвращении из Турции регулярным рейсом в город Москва.
В период 3 дней мне нужно загрузить на портал Госулуги документ с результатом теста.
Вопрос - Могу ли я предоставить результат теста на английском языке, проведенный в день моего вылета, в городе Стамбул?
Или мне обязательно нужно делать тест в городе Москва?
--
С Уважением, Анна
";;;ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН;здравствовать ознакомить план действие возвращение турция регулярный рейс город москва период 3 день нужно загрузить портал госулуга документ результат тест вопрос мочь предоставить результат тест английский язык провести день вылет город стамбул обязательно нужно делать тест город москва уважение анна
220;;;45.0;Рекомендации для бизнеса;;;ШТРАФЫ, НОРМАТИВНЫЕ АКТЫ И РЕКОМЕНДАЦИИ;рекомендация бизнес
221;;;70.0;Здравствуйте, обязаны ли продавцы носить маски ?;;;СРЕДСТВА ИНДИВИДУАЛЬНОЙ ЗАЩИТЫ ( МАСКИ, ПЕРЧАТКИ);здравствовать обязать продавец носить маска
222;;;37.0;Здравствуйте. Сын поступает в Вуз. Приобретены авиа билеты Южно-Сахалинск-Москва и ЖД билеты Москва-Великий Новгород. Нужно ли сыну сдавать тест на ковид и предоставлять справку при прибытие в Москву и Великий Новгород?Отправлено со смартфона Samsung Galaxy.;;;ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ;здравствовать сын поступать вуз приобрести авиа билет южносахалинскмосква жд билет москвавеликий новгород нужно сын сдавать тест ковид предоставлять справка прибытие москва великий новгородотправить смартфон samsung galaxy
223;;;308.0;"Добрый день! 
Прошу разъяснить следующую ситуацию:
Мы с мужем прибыли в Россию (Ростов на Дону) 9 августа регулярным рейсом транзитом из Стамбула. ( Барселона-Стамбул- Ростов) 
Оформив заранее все необходимые анкеты для въезжающих в Россию на сайте госуслуги.
Сегодня 11 августа мы сдали анализы на Ковид. 
После чего нам сообщил местный участковый фельдшер Н.Чадная, что ей поступил список людей, которые должны находится на самоизоляции. 
И что в данный момент до 24 августа мы обязаны находится по месту прибывания.
Мы прилетели в Россию, потому что отменили карантин для российских граждан прибывших из-за границы. Прошу разъяснить правомерность действий местных медицинских работников. Спасибо!
";;;"ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН
";добрый день просить разъяснить следующий ситуация муж прибыть россия ростов дон 9 август регулярный рейс транзит стамбул барселонастамбул ростов оформить заранее весь необходимый анкета въезжать россия сайт госуслуга сегодня 11 август сдать анализ ковид сообщить местный участковый фельдшер нчадный поступить список человек который должный находиться самоизоляция данный момент 24 август обязать находиться место прибывания прилететь россия отменить карантин российский гражданин прибыть изз граница просить разъяснить правомерность действие местный медицинский работник спасибо
224;;;37.0;"Добрый день.

Я представляю компанию Игнеско. Мы занимаемся организацией медицинских конференций и выставок.
С 18 по 20 ноября в г. Ярославль у нас запланировано 3 медицинских конференции и выставки (в рамках этих конференций)
Место проведения: Ринг Премьер Отель. Численность: около 100 человек

Прошу Вас предоставить информацию:
1. Проведение каких мероприятий разрешено на сегодняшний день?
2. Какие условия для их проведения необходимо соблюсти?
3. Ожидается ли в ближайшее время перехо на 3 этап снятия ограничений?

------------------
Буду рада ответить на любые интересующие Вас вопросы ))
-----------
С Уважением, 

региональный менеджер
Литвинова Ольга
8-961-630-7978
olga.litvinova@ignesko.ru

Ignesko CLUB
Конференции & Тренинги & Туризм
603057, г. Нижний Новгород,
БЦ ""Портал"", ул. Бекетова, д. 13, литер В, офис 108
8(831) 416-40-73
www.ignesko.ru
";;;"ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ
";добрый день представлять компания игнеско заниматься организация медицинский конференция выставка 18 20 ноябрь год ярославль запланировать 3 медицинский конференция выставка рамка конференция место проведение ринг премьер отель численность около 100 человек просить предоставить информация 1 проведение мероприятие разрешить сегодняшний день 2 условие проведение необходимый соблюсти 3 ожидаться ближний время перехий 3 этап снятие ограничение рада ответить любой интересовать вопрос уважение региональный менеджер литвинов ольга 89616307978 olgalitvinovaigneskoru ignesko club конференция тренинг туризм 603057 год нижний новгород бц портал ул бекетов далее 13 литера офис 108 8831 4164073 wwwigneskoru
225;;;132.0;"Здравствуйте,скажите пожалуйста может ли человек заразившийся кароновирусом не проходя лечение и не сидя дома вылечиться и остаётся ли вирус в его организме.Спасибо.
";;;"ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ
";здравствуйтесказать пожалуйста мочь человек заразиться кароновирус проходить лечение сидеть дом вылечиться оставаться вирус организмеспасибо
226;;;6.0;"Добрый день! Подскажите пожалуйста, есть симптомы орви. Хотел сдать на анализ covid в частной лаборатории. Было отказано по причине симптомов орви. Сказали обратиться к вам. Подскажите как поступить в данном случае

Спасибо !
";;;"ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС
";добрый день подсказать пожалуйста симптом орвать хотеть сдать анализ covid частный лаборатория отказать причина симптом орвать сказать обратиться подсказать поступить дать случай спасибо
227;;;1.0;"У друга пришел положительный тест на ковид. Мы были контактны с ним. Что нам делать?
Николай Дюкарев
";;;"КАРАНТИН, ИЗОЛЯЦИЯ, САМОИЗОЛЯЦИЯ
";друг прийти положительный тест ковид контактный делать николай дюкарев
228;;;308.0;"Добрый день.

Как оформляется режим изоляции иностранных граждан прибывших на территорию РФ в целью осуществления трудовой функции? 
Может ли иностранный гражданин прибывший на территорию РФ с целью осуществления трудовой функции изолироваться в гостинице? 
Оформляется ли иностранному гражданину прибывшему на территорию РФ с целью исполнения трудовой функции больничный лист? 
Имеет ли право иностранный гражданин прибывший на территорию РФ с целью исполнения трудовой функции находящийся на изоляции покидать место изоляции для прохождения медицинского осмотра? 


С уважением,
Муравьева Полина
";;;"ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН
";добрый день оформляться режим изоляция иностранный гражданин прибыть территория рф цель осуществление трудовой функция мочь иностранный гражданин прибыть территория рф цель осуществление трудовой функция изолироваться гостиница оформляться иностранный гражданин прибыть территория рф цель исполнение трудовой функция больничный лист иметь право иностранный гражданин прибыть территория рф цель исполнение трудовой функция находиться изоляция покидать место изоляция прохождение медицинский осмотр уважение муравьев полина
229;;;6.0;"Добрый день! Требуется ли сдача тестов на covid-19 воспитанникам спортивных

школ Московской области?



--

С уважением, Роман Сопов

Заместитель директора МАУ СШ №2 ""Юность""

";;;"ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС
";добрый день требоваться сдача тест covid 19 воспитанник спортивный школа московский область уважение роман соп заместитель директор мау сш № 2 юность
230;;;308.0;"Имеет ли право иностранный гражданин прибывший на территорию РФ с целью исполнения трудовой функции находящийся на изоляции покидать место изоляции для прохождения медицинского осмотра? 

С уважением,
Муравьева Полина
";;;"ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН
";иметь право иностранный гражданин прибыть территория рф цель исполнение трудовой функция находиться изоляция покидать место изоляция прохождение медицинский осмотр уважение муравьев полина
231;;;308.0;"Как оформляется режим изоляции иностранных граждан прибывших на территорию РФ в целью осуществления трудовой функции? 

С уважением,
Муравьева Полина
";;;"ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН
";оформляться режим изоляция иностранный гражданин прибыть территория рф цель осуществление трудовой функция уважение муравьев полина
232;;;308.0;"Может ли иностранный гражданин прибывший на территорию РФ с целью осуществления трудовой функции изолироваться в гостинице? 

С уважением,
Муравьева Полина
";;;"ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН
";мочь иностранный гражданин прибыть территория рф цель осуществление трудовой функция изолироваться гостиница уважение муравьев полина
233;;;6.0;"Добрый день! Требуется ли тестирование на covid-19 для спортсменов
";;;"ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС
";добрый день требоваться тестирование covid 19 спортсмен
234;;;6.0;"Добрый день! Требуется ли тестирование на covid-19 пцр или ифа для

спортсменов проходящих спортивную подготовку в учреждениях спорта

Московской области
";;;"ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС
";добрый день требоваться тестирование covid 19 пцр ифа спортсмен проходить спортивный подготовка учреждение спорт московский область
235;;;308.0;"Здравствуйте,



Подскажите пожалуйста, можно ли проверить, все ли мы правильно сделали. В

течение трёх дней мы сдали тест на коронавирус, вчера получили результаты и

отправили на указанный адрес. Мы должны были получить какой-то ответ? Как

узнать, что все нормально?
";;;"ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН
";здравствовать подсказать пожалуйста проверить весь правильно сделать течение день сдать тест коронавирус вчера получить результат отправить указанный адрес должный получить какойтый ответ узнать весь нормальный
236;;;37.0;"Здравствуйте!Можно ли провести собрание СНТ в Московской области на

открытом воздухе в очной форме?
";;;"ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ
";здравствуйтеможный провести собрание снт московский область открытый воздух очный форма
237;;;1.0;"Добрый день!
На прошлой неделе на работе был контакт с больным Ковид. 
Отправили весь отдел на удаленную работу.
Тест домой брать не приходили.
В изоляции уже неделю, больничный никто не открывал.
Какие мои действия?
Когда придут брать мазки на ПЦР?
Нужен ли больничный, если работаю удаленно?

--
Светлана Васильева
";;;"КАРАНТИН, ИЗОЛЯЦИЯ, САМОИЗОЛЯЦИЯ
";добрый день прошлый неделя работа контакт больной ковид отправить весь отдел удалённый работа тест домой брать приходить изоляция неделя больничный никто открывать действие прийти брать мазка пцр нужный больничный работать удалённый светлана васильев
238;;;57.0;"Добрый день, вопрос по открытию больничного листа 
Сегодня получила постановление о том, что должна находиться в режиме самоизоляции с 31 июля сроком на 14 дней, тк имела контакт с человеком, у которого выявили ковид. При этом в настоящее время нахожусь в очередном отпуске, по месту прописки, нужно ли оформить листок нетрудоспособности. Работодатель настаивает на его оформлении
";;;"БОЛЬНИЧНЫЙ ЛИСТ
";добрый день вопрос открытие больничный лист сегодня получить постановление должный находиться режим самоизоляция 31 июль срок 14 день тк иметь контакт человек который выявить ковид это настоящее время находиться очередной отпуск место прописка нужно оформить листок нетрудоспособность работодатель настаивать оформление
239;;;308.0;"Здравствуйте, я планирую сейчас поехать в Беларусь. Какие действия я должен буду предпринять при возвращении в Россию?
";;;"ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН
";здравствовать планировать поехать беларусь действие должный предпринять возвращение россия
240;;;308.0;"Здравствуйте. Подскажите пожалуйста, можно ли к вам обратиться по вопросу, связанному с правилами въезда иностранных граждан на территорию Российской Федерации? 
Ситуация такова:
Я – гражданка РФ, а мой молодой человек- гражданин Германии с видом на жительство Швейцарии. Он хотел бы приехать в Россию на 8 дней в сентябре. Он готов сдать тест на наличие коронавирусной инфекции, но сидеть на самоизоляции две недели он не сможет, т.к. поездка всего на одну неделю и визу он может получить тоже всего на одну неделю. Если тест будет отрицательным, есть ли возможность не проходить самоизоляцию, а просто предоставить отрицательный результат? Он планирует прилететь из Швейцарии в Краснодар (пересадка в Москве).
Нам очень нужна любая полезная информация по этому вопросу, потому как уже сейчас необходимо начать процесс по получению визы в РФ и нужно знать, получится ли.
Заранее благодарю за ответ. 

С уважением,
Софья Гинеева, 
s_gineeva@mail.ru
";;;"ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН
";здравствовать подсказать пожалуйста обратиться вопрос связанный правило въезд иностранный гражданин территория российский федерация ситуация таков – гражданка рф молодая человек гражданин германия вид жительство швейцария хотеть приехать россия 8 день сентябрь готовый сдать тест наличие коронавирусный инфекция сидеть самоизоляция неделя смочь тк поездка неделя виза мочь получить неделя тест отрицательный возможность проходить самоизоляция просто предоставить отрицательный результат планировать прилететь швейцария краснодар пересадка москва очень нужный любой полезный информация это вопрос необходимый начать процесс получение виза рф нужно знать получиться заранее благодарить ответ уважение софья гинеева sgineevamailru
241;;;308.0;"Здравствуйте! Вчера , 10.08.2020 прилетел вывозным рейсом из США. Я обязан в трёхдневный срок сдать тест на коронавирус. Сегодня 11.08.2020 я сдал тест,результаты которого будут в течении 1-3 дней. По независящим от меня причинам я могу на 1-2 дня не уложиться в этот срок, для загрузки данных теста на госуслугах. Какие последствия мне грозят и можно ли на сегодняшний день для подтверждения сдачи теста загрузить на госуслугах подтверждение сдачи теста , а не результат? Результат мной будет загружен после получения результата теста. Спасибо
";;;"ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН
";здравствовать вчера 10082020 прилететь вывозной рейс сша обязать трёхдневный срок сдать тест коронавирус сегодня 11082020 сдать тестрезультат который течение 13 день независящий причина мочь 12 день уложиться срок загрузка дать тест госуслуга последствие грозить сегодняшний день подтверждение сдача тест загрузить госуслуга подтверждение сдача тест результат результат загрузить получение результат тест спасибо
